"Transaction Hash","Timestamp","From","To","Transaction Type","Asset Contract Address","Asset Symbol / Name","Token ID","Amount","Gas Fee (ETH)"
"0xf03879bfd6c5b60d7243b87f365f2aa300f7f9aa9f88270ae6a0b86c7554066e","2024-03-19T18:47:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.005389217684701488"
"0xfb36e5eb65e3862302107bfa41c141403e6645a20a2da53889a9f720679ab75f","2024-03-19T18:48:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.005326942455863757"
"0x534e1d110e0bed0d077761968e85890fdd37b103a8e483240676467d730b0e04","2024-03-19T18:52:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00425763885169024"
"0x632a202343f0cc8f0829e42331ad725f0c62e0d614b3ecaf816fbd1c80504ce5","2024-03-19T18:52:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001598281128578428"
"0xfa825405a80d7ee7c6e6e3731a68ef6e059837542f8f0db7ff2cbaade3c976c9","2024-03-19T18:55:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.003642623716469985"
"0xb5e4cceaed1490c7a559f013f9febbec8c7acc1529730a86e0308005f3616e14","2024-03-19T18:56:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004853825677385722"
"0x9c4f2eb6d5d4cb0ee1087732963d696de6ca0aef7924246b98963fe6b096032d","2024-03-19T18:56:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004675740403572592"
"0xf7def31131550566d5405edf209dc1702fe040869452ca81deea56a072d2c8f5","2024-03-19T18:58:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004273987645873346"
"0x6d414c71c228975bc29539593f0fc310114eae863a7311b0527e95265b2bc621","2024-03-19T19:00:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001433729610038203"
"0xb46a1ae300897fc94d79a9ac4b7d15e1829f88bd66312a7aaaddc53e9d59dd0c","2024-03-19T19:01:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.005351843987338014"
"0x887deea72d2b7d826eb4a56e4a96a7dc32cf478e5b2a553fdfa86971524ba0c9","2024-03-19T19:04:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004514231116673536"
"0x80ea2e592879ef5caa538c5c63798e50a5aae163755ce733a6b4bdde08398769","2024-03-19T19:37:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00416424710658"
"0xf10e1b909e8bf9afbf68f1a869054cf622f675b615012476530ccee268ee68e7","2024-03-19T19:49:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001330236342496402"
"0xed06bc34753c98c6c266bbc51786a63fe60e63b850625604e525a0886c331995","2024-03-19T19:49:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00132444089946155"
"0x55369aaa119153cc1b98703ac99474098558b11bbcb77b74c6095f113e9e35e1","2024-03-19T19:50:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00141106696690649"
"0xf98eefaf250bcc27ba5520a4123fc3c65ecab7f791090780550c4d1a393b3b30","2024-03-19T19:50:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.00141106696690649"
"0x4727fc49fbfd70e5975b49e1d7b3322ee0a1d8bad5c807ae5091ea51e7c8c9b6","2024-03-19T20:07:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.002058066557380395"
"0x5725ae89c23e0f9bd8c5be3ee6afb25d62fd8ecd389ffbe383ec01d50ebfd1d7","2024-03-19T21:03:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004716668"
"0xde57ca4671bde29fb354fe29b7c9bc404c51a16fa0b9813ec36d219bb08af9fa","2024-03-19T21:05:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.003839029412273738"
"0x3685aa7356072b23f8eb1907fc8b1d623ed476700fdf48f9b9ef4fe4994e96de","2024-03-19T21:07:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004305469973801388"
"0xfe29e0094bc54f023041ee1179814debb1135f39276fc6cd52d155da7df02e26","2024-03-19T21:07:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004695139535533056"
"0x2f2d341ac3a678f8cd33e87c3e71128b99f05364a4d031fa3dcc856eeb944dfa","2024-03-19T21:23:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.004724604728035808"
"0x901acf00acfcd584a139d548853c7b75eb33a4d8233f7e1d0dac358d4c7d29c1","2024-03-19T21:26:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xba7b93334069936275f6aafb4ae5e10306deb55f","ETH_TRANSFER","","","","0.0","0.001548682"
